NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK
1000024000,101,성균관대입구교차로,1,
1000024100,101,대한불교조계종안국선,0,
1000024200,101,상겔러리,1,
1000024300,101,무궁화동산,0,
1000024400,101,신교동교차로,1,
1000024500,101,신교소방파출소,1,
1000024600,101,로마교황청대사관,0,
1000024700,101,궁정교회,0,
1000024900,101,혜화동로터리,1,
1000025000,101,혜화동로터리,1,
1000025300,101,혜화동로터리,1,
1000025400,101,혜화동로터리,0,
1000025600,101,혜화동로터리,0,
1000025700,101,경복고등학교,0,
1000025800,101,삼청우체국,0,
1000025900,101,명륜파출소,0,
1000026000,101,베드루신경정신과의원,1,
1000026100,101,경기상고,1,
1000026200,101,명륜파출소,0,
1000026300,104,자하문터널남측,0,
1000026400,101,혜화초교,0,
1000026500,103,속성변화점,0,
1000026600,102,벽산빌라,0,
1000026700,105,종로구-성북구,0,
1000026800,101,청운벽산빌리지,0,
1000026900,105,종로구-성북구,0,
1000027100,104,삼청터널남측,0,
1000027200,105,종로구-성북구,0,
1000027300,101,새검정,0,
1000027400,101,세검정앞,1,
1000027500,101,새검정,0,
1000027600,101,세검정,0,
1000027700,101,상명초등학교,0,
1000027800,101,북악팔각정,0,
1000027900,102,상명대학교,1,
1000028000,101,북악팔각정후문,0,
1000028100,101,신영동삼거리,0,
1000028200,101,신영동삼거리,1,
1000028300,101,신영삼거리,0,
1000028400,101,신영동삼거리,0,
1000028500,101,신영동삼거리,0,
1000028600,101,경일약국,1,
1000028601,101,평창동주민센터,0,
1000028700,104,정릉터널남측,0,
1000028800,101,명성화물,1,
1000028900,105,종로구-성북구,0,
1000029000,101,동양카센타,0,
1000029100,101,구기터널앞교차로,1,
1000029300,104,구기터널동측,0,
1000029400,105,종로구-성북구,0,
1000029600,105,종로구-은평구,0,
1000029700,101,가나힐하우스,0,
1000029800,101,하비에르국제학교,0,
1000029900,101,평창동삼성아파트,0,
1000030000,104,북악터널서측,0,
1000030100,105,종로구-성북구,0,
1000030200,101,구기동3차현대빌라,0,
1000030300,101,건덕빌라,0,
1000030400,101,가나아트센타,0,
1000030500,101,이북5도청,0,
1000030600,101,북악휴계실,0,
1000030700,102,구기동삼익빌라,0,
1000030800,101,베네스트아파트,1,
1000030900,101,세종로공원,0,
1000031000,101,청계광장,0,
1000031100,101,대한민국역사박물관,0,
1000031200,101,종로4가,0,
1000031300,101,종로4가,0,
1000031400,101,버들다리북측,1,
1000031500,101,신창읍민회관,0,
1000031600,102,평창동주민센터,0,
1000031700,102,독립공원교차로,0,
1000031800,102,독립문역(서울3호선),0,
1000031900,101,LG생활건강본사,0,
1000032000,102,세종문화회관,0,
1000032101,101,사직터널그집,0,
1000032201,104,사직터널,0,
1010000300,101,후암삼거리,0,
1010000301,101,SK커뮤니케이션즈본사,1,
1010000302,101,LG이노텍본사,0,
1010000400,101,약수역앞교차로,1,
1010000600,101,남산2호터널입구,1,
1010000700,101,도동삼거리,0,
1010000900,104,남산3호터널북측,0,
1010001000,101,서울역,0,
1010001100,104,남산1호터널북측,0,
1010002800,101,중구청앞교차로,1,
1010003200,101,중부경찰서앞교차로,0,
1010003201,101,을지로3가역교차로,0,
1010003700,101,정동제일교회앞교차로,1,
1010004000,101,시청앞교차로,1,
1010004800,101,한국체육박물관,1,
1010004900,101,프레스센터,1,
1010005300,101,신평화시장,0,
1010005400,101,남산공원장충유아숲체험장,0,
1010005500,101,국립극장앞교차로,0,
1010005600,104,금호터널북측,0,
1010005700,101,약수고가차도,0,
1010005800,101,약수고가차도,0,
1010005900,102,남산학사빌딩,0,
1010006000,101,약수고가차도남측,0,
